belongs_category,first_level,second_level,third_level,title,url
"{'name': 'Amazon Devices & Accessories', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Amazon Devices & Accessories', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Certified Refurbished Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",https://www.amazon.com/Certified-Refurbished-streaming-device-controls/dp/B0B8C1HYY8/ref=zg_bs_amazon-devices_sccl_22/139-5203651-6970324?psc=1
"{'name': 'Amazon Devices & Accessories', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Amazon Devices & Accessories', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Made for Amazon, Wireless Charging Dock for Kindle Paperwhite Signature Edition. Only compatible with Kindle Paperwhite Signature Edition.",https://www.amazon.com/Wireless-Charging-Paperwhite-Signature-compatible/dp/B0952VWQWC/ref=zg_bs_amazon-devices_sccl_23/139-5203651-6970324?psc=1
"{'name': 'Amazon Devices & Accessories', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Amazon Devices & Accessories', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Amazon Fire HD 8 Kids Pro tablet, 8"" HD display, ages 6-12, 30% faster processor, 13 hours battery life, Kid-Friendly Case, 32 GB, (2022 release), Rainbow Universe",https://www.amazon.com/Amazon-Official-Site-Fire-HD-Kids-8-Pro-Tablet-8-inch-Display-2022-release/dp/B09BG63ZMM/ref=zg_bs_amazon-devices_sccl_24/139-5203651-6970324?psc=1
"{'name': 'Amazon Devices & Accessories', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Amazon Devices & Accessories', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Ring Wall Mount for Solar Panels and Cams, White",https://www.amazon.com/Ring-Mount-Solar-Panels-White/dp/B09CBZSVL6/ref=zg_bs_amazon-devices_sccl_25/139-5203651-6970324?psc=1
"{'name': 'Amazon Renewed', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Amazon Renewed', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Gateway Newest Touchscreen 11.6 HD 2-in-1 Convertible Laptop in Blue Intel N4020 4GB RAM 64GB SSD Mini-HDMI Webcam Windows 10 S (Renewed) (GT-116),https://www.amazon.com/Gateway-Touchscreen-Convertible-Mini-HDMI-GT-116/dp/B09XKTK4RB/ref=zg_bs_amazon-renewed_sccl_8/141-8670379-1855958?psc=1
"{'name': 'Amazon Renewed', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Amazon Renewed', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"ARRIS SURFboard SB8200-RB DOCSIS 3.1 Cable Modem | Approved for Comcast Xfinity, Cox, Charter Spectrum, & more | Two 1 Gbps Ports | 1 Gbps Max Internet Speeds | 4 OFDM Channels | - RENEWED",https://www.amazon.com/ARRIS-SURFboard-SB8200-RB-Approved-Spectrum/dp/B07M8BNVSD/ref=zg_bs_amazon-renewed_sccl_9/141-8670379-1855958?psc=1
"{'name': 'Amazon Renewed', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Amazon Renewed', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"JBL Flip 6 - Portable Bluetooth Speaker, Powerful Sound and deep bass, IPX7 Waterproof, 12 Hours of Playtime- Black (Renewed)",https://www.amazon.com/JBL-Flip-Bluetooth-Waterproof-Playtime/dp/B09NWJ5BT5/ref=zg_bs_amazon-renewed_sccl_10/141-8670379-1855958?psc=1
"{'name': 'Amazon Renewed', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Amazon Renewed', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Brother Printer RMFCL2710DW Monochrome Printer (Renewed),https://www.amazon.com/Brother-Printer-RMFCL2710DW-Monochrome/dp/B07H83KG8M/ref=zg_bs_amazon-renewed_sccl_11/141-8670379-1855958?psc=1
"{'name': 'Amazon Renewed', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Amazon Renewed', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Dell Gaming OptiPlex Desktop RGB Computer PC, Intel Core i5, GeForce GT 1030 2GB GDDR5, 16GB RAM, 512GB SSD, 24 Inch HDMI Monitor, RGB Keyboard Mouse and Headset, WiFi, Windows 10 Pro (Renewed)",https://www.amazon.com/Dell-OptiPlex-Desktop-Computer-Keyboard/dp/B0BLR3C7SZ/ref=zg_bs_amazon-renewed_sccl_12/141-8670379-1855958?psc=1
"{'name': 'Appliances', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Appliances', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Maelsrlg LED Refrigerator Light Bulb, 40W Equivalent, Freezer Fridge Appliance Light Bulb, Soft White 2700K, 5W 500 Lumens, Non-Dimmable, E26 Base, A15 Frosted, Pack of 2",https://www.amazon.com/Appliance-Equivalent-Flicker-Free-Refrigerator-Non-Dimmable/dp/B08XZLPSML/ref=zg_bs_appliances_sccl_16/131-7201010-5176169?psc=1
"{'name': 'Appliances', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Appliances', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"KBice 2.0 Self Dispensing Countertop Nugget Ice Maker, Crunchy Pebble Ice Maker, Sonic Ice Maker, Produces Max 32 lbs of Nugget Ice per Day, LED Touch Display Panel",https://www.amazon.com/KBICE-Dispensing-Countertop-Crunchy-Produces/dp/B0BKYRM37J/ref=zg_bs_appliances_sccl_17/131-7201010-5176169?psc=1
"{'name': 'Appliances', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Appliances', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"DOMETIC CFX3 75-Liter Dual Zone Portable Refrigerator and Freezer, Powered by AC/DC or Solar…",https://www.amazon.com/DOMETIC-75-Liter-Portable-Refrigerator-Freezer/dp/B09FS4YJ8F/ref=zg_bs_appliances_sccl_18/131-7201010-5176169?psc=1
"{'name': 'Appliances', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Appliances', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Single Wall Ovens-Oven Single Wall-High Power Single Wall Oven006,https://www.amazon.com/Single-Ovens-Oven-Wall-High-Power-Oven006/dp/B0C2Q3K2K6/ref=zg_bs_appliances_sccl_19/131-7201010-5176169?psc=1
"{'name': 'Appliances', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Appliances', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Upstreman 3.2 Cu.Ft Mini Fridge with Freezer, Stainless Steel 2 door, Adjustable Thermostat, Low noise, Energy-efficient, Compact Refrigerator for Dorm, Office, Bedroom",https://www.amazon.com/Upstreman-Adjustable-Thermostat-Energy-efficient-Refrigerator/dp/B09N973SVZ/ref=zg_bs_appliances_sccl_20/131-7201010-5176169?psc=1
"{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Toca Life: City,https://www.amazon.com/Toca-Boca-Life-City/dp/B01555BUD0/ref=zg_bs_mobile-apps_sccl_17/146-0937381-3398359?psc=1
